,Name ,Album,Artist
1,Mere Gully Mein,Gully Boy,"Ranveer Singh, DIVINE & Naezy"
2,Bhaag D.K Bose,Delhi Belly,Ram Sampath
3,Badnaam,Hate Story IV,Armaan Malik
4,Aaj Ki party,Bajrangi Bhaijaan,Mika Singh
5,Engine Ki Seeti,Khoobsurat, Resmi Sateesh and Sunidhi Chauhan
6,I hate you (Like I Love You),Delhi Belly," Keerthi Sagathia, Shazneen Arethna, and Sona Mohapatra"
7,Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan
8,Pungi,Agent Vinod,"Mika Singh, Amitabh Bhattacharya, Nakash Aziz, Pritam"
9,Party All Night,Boss,Yo Yo Honey Singh
10,Munni Badnaam Hui,Dabangg.,"Mamta Sharma, Aishwarya"
