,Name,Album,Artist
1,Jai Ho,Slumdog Millionaire,A.R. Rahman
2,Chaiyya Chaiyya,Dil Se,"Sukhwinder Singh, Sapna Awasthi"
3,Badtameez Dil,Yeh Jawaani Hai Deewani,"Benny Dayal,Shefali Alvares"
4,Tamma Tamma Again,Badrinath ki dulhania,"Bappi Lahiri, Anuradha Paudwal, Badshah"
5,Ainvayi Ainvayi,Band Baaja Baaraat,"Salim Merchant,Sunidhi Chauhan"
6,Dil Dhadakne Do,Dil Dhadakne Do,Priyanka Chopra and Farhan Akhtar
7,Radha,Student Of The Year,"Shreya Ghoshal, Udit Narayan"
8,Aankh Marey,Simmba,"Neha Kakkar, Mika Singh, Kumar Sanu"
9,London Thumakda,Queen,"Neha Kakkar, Sonu Kakkar, Labh Janjua"
10,Happy Diwali,,Ayushmann Khurrana
