,Name,Album,Artist
1,Tum Se Hi,Jab We Met,Mohit Chauhan
2,Teri Ore,Singh is Kinng,"Rahat Fateh Ali Khan, Shreya Ghoshal"
3,Tere Bina,Guru,A.R. Rahman
4,Phir Le Aaya Dil,Barfi!,Rekha Bhardwaj
5,Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,"Jubin Nautiyal,Pritam"
6,Tera Ban Jaunga,Kabir Singh,"Akhil Sachdeva,Tulsi Kumar"
7,Tere Bin,Bas Ek Pal,Sonu Nigam
8,Tere Bina Zindagi Se,Aandhi,"Lata Mangeshkar, Kishore Kumar"
9,Safarnama,Tamasha,Lucky Ali 
10,Kho Gaye Hum Kahan,Baar Baar Dekho,"Jasleen Royal,Prateek Kuhad"
