,Name,Album,Artist
1,Tum Hi Aana,Marjaavaan,Jubin Nautiyal and Payal Dev
2,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Pritam Chakraborty
3,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
4,Kabira,Jawaani Hai Deewani,Rekha Bhardwaj and Tochi Raina
5,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi, Jay Kadn and Roopkumar Rathod
6,Tere Bina,Guru,A. R. Rahman and Chinmayi
7,Tere Naam,Tere Naam, Alka Yagnik
8,Judaai,Badlapur,"Arijit Singh, Rekha Bhardwaj, and Sachin–Jigar"
9,Agar Tum Saath Ho,Tamasha,Alka Yagnik and Arijit Singh
10,Mere Rashke Qamar,Baadshaho,"Fateh Ali Khan, Rahat Fateh Ali Khan"
