,Name,Album,Artist
1,Jabra Fan,Fan,Nakash Aziz
2,Zingaat,Dhadak,Ajay-Atul
3,Tune Maari Entriyaan,Gunday,"Bappi Lahiri, KK, Neeti Mohan and Vishal Dadlani"
4,Aaj Ki Party,Bajrangi Bhaijaan,Mika Singh
5,Dhoom Machale,Dhoom,Sunidhi Chauhan
6,Desi Girl,Dostana,"Shankar Mahadevan, Sunidhi Chauhan, and Vishal Dadlani"
7,O Saki Saki,Batla House,"Neha Kakkar, Tulsi Kumar, and B Praak"
8,Dil Mein Baji Guitar,Apna Sapna Money Money,Amit Kumar
9,Munni Badnaam Hui,Dabangg,Mamta Sharma and Aishwarya Nigam
10,Kala Chashma,Baar Baar Dekho,"Amar Arshi, Badshah, and Neha Kakkar"
